ID,"CubeId;""rendopar"""
1,"PublishingDate;""2018-04-03 14:30"""
2,
3,"Date;""d0"";""Value"""
466,"1988-04-20;""b0"";"
467,"1988-04-20;""b1"";"
468,"1988-04-20;""b2"";"
469,"1988-04-20;""b3"";"
470,"1988-04-20;""t1"";"
471,"1988-04-20;""t2"";"
472,"1988-04-21;""b0"";"
473,"1988-04-21;""b1"";"
474,"1988-04-21;""b2"";"
475,"1988-04-21;""b3"";"
476,"1988-04-21;""t1"";"
477,"1988-04-21;""t2"";"
478,"1988-04-22;""b0"";"
479,"1988-04-22;""b1"";"
480,"1988-04-22;""b2"";"
481,"1988-04-22;""b3"";"
482,"1988-04-22;""t1"";"
483,"1988-04-22;""t2"";"
484,"1988-04-25;""b0"";""4.505"""
485,"1988-04-25;""b1"";""-2.955"""
486,"1988-04-25;""b2"";""-2.165"""
487,"1988-04-25;""b3"";""4.704"""
488,"1988-04-25;""t1"";""2.874"""
489,"1988-04-25;""t2"";""1.447"""
490,"1988-04-26;""b0"";"
491,"1988-04-26;""b1"";"
492,"1988-04-26;""b2"";"
493,"1988-04-26;""b3"";"
494,"1988-04-26;""t1"";"
495,"1988-04-26;""t2"";"
496,"1988-04-27;""b0"";"
497,"1988-04-27;""b1"";"
498,"1988-04-27;""b2"";"
499,"1988-04-27;""b3"";"
500,"1988-04-27;""t1"";"
501,"1988-04-27;""t2"";"
502,"1988-04-28;""b0"";"
503,"1988-04-28;""b1"";"
504,"1988-04-28;""b2"";"
505,"1988-04-28;""b3"";"
506,"1988-04-28;""t1"";"
507,"1988-04-28;""t2"";"
508,"1988-04-29;""b0"";""4.366"""
509,"1988-04-29;""b1"";""-2.631"""
510,"1988-04-29;""b2"";""0.034"""
511,"1988-04-29;""b3"";""2.527"""
512,"1988-04-29;""t1"";""3.046"""
513,"1988-04-29;""t2"";""1.131"""
514,"1988-05-02;""b0"";""4.33"""
515,"1988-05-02;""b1"";""-2.718"""
516,"1988-05-02;""b2"";""0.01"""
517,"1988-05-02;""b3"";""1.094"""
518,"1988-05-02;""t1"";""1.493"""
519,"1988-05-02;""t2"";""0.247"""
520,"1988-05-03;""b0"";"
521,"1988-05-03;""b1"";"
522,"1988-05-03;""b2"";"
523,"1988-05-03;""b3"";"
524,"1988-05-03;""t1"";"
525,"1988-05-03;""t2"";"
526,"1988-05-04;""b0"";"
527,"1988-05-04;""b1"";"
528,"1988-05-04;""b2"";"
529,"1988-05-04;""b3"";"
530,"1988-05-04;""t1"";"
531,"1988-05-04;""t2"";"
532,"1988-05-05;""b0"";"
533,"1988-05-05;""b1"";"
534,"1988-05-05;""b2"";"
535,"1988-05-05;""b3"";"
536,"1988-05-05;""t1"";"
537,"1988-05-05;""t2"";"
538,"1988-05-06;""b0"";"
539,"1988-05-06;""b1"";"
540,"1988-05-06;""b2"";"
541,"1988-05-06;""b3"";"
542,"1988-05-06;""t1"";"
543,"1988-05-06;""t2"";"
544,"1988-05-09;""b0"";""4.116"""
545,"1988-05-09;""b1"";""-2.935"""
546,"1988-05-09;""b2"";""-5.694"""
547,"1988-05-09;""b3"";""5.618"""
548,"1988-05-09;""t1"";""0.284"""
549,"1988-05-09;""t2"";""0.151"""
550,"1988-05-10;""b0"";"
551,"1988-05-10;""b1"";"
552,"1988-05-10;""b2"";"
553,"1988-05-10;""b3"";"
554,"1988-05-10;""t1"";"
555,"1988-05-10;""t2"";"
556,"1988-05-11;""b0"";"
557,"1988-05-11;""b1"";"
558,"1988-05-11;""b2"";"
559,"1988-05-11;""b3"";"
560,"1988-05-11;""t1"";"
561,"1988-05-11;""t2"";"
562,"1988-05-12;""b0"";"
563,"1988-05-12;""b1"";"
564,"1988-05-12;""b2"";"
565,"1988-05-12;""b3"";"
566,"1988-05-12;""t1"";"
567,"1988-05-12;""t2"";"
568,"1988-05-13;""b0"";"
569,"1988-05-13;""b1"";"
570,"1988-05-13;""b2"";"
571,"1988-05-13;""b3"";"
572,"1988-05-13;""t1"";"
573,"1988-05-13;""t2"";"
574,"1988-05-16;""b0"";""4.178"""
575,"1988-05-16;""b1"";""-2.874"""
576,"1988-05-16;""b2"";""-1.394"""
577,"1988-05-16;""b3"";""2.028"""
578,"1988-05-16;""t1"";""0.502"""
579,"1988-05-16;""t2"";""0.131"""
580,"1988-05-17;""b0"";"
581,"1988-05-17;""b1"";"
582,"1988-05-17;""b2"";"
583,"1988-05-17;""b3"";"
584,"1988-05-17;""t1"";"
585,"1988-05-17;""t2"";"
586,"1988-05-18;""b0"";"
587,"1988-05-18;""b1"";"
588,"1988-05-18;""b2"";"
589,"1988-05-18;""b3"";"
590,"1988-05-18;""t1"";"
591,"1988-05-18;""t2"";"
592,"1988-05-19;""b0"";"
593,"1988-05-19;""b1"";"
594,"1988-05-19;""b2"";"
595,"1988-05-19;""b3"";"
596,"1988-05-19;""t1"";"
597,"1988-05-19;""t2"";"
598,"1988-05-20;""b0"";"
599,"1988-05-20;""b1"";"
600,"1988-05-20;""b2"";"
601,"1988-05-20;""b3"";"
602,"1988-05-20;""t1"";"
603,"1988-05-20;""t2"";"
604,"1988-05-23;""b0"";"
605,"1988-05-23;""b1"";"
606,"1988-05-23;""b2"";"
607,"1988-05-23;""b3"";"
608,"1988-05-23;""t1"";"
609,"1988-05-23;""t2"";"
